Dose,Well,ImageNumber,ObjectNumber,Cytoplasm_AreaShape_Area,Cytoplasm_AreaShape_Center_X,Cytoplasm_AreaShape_Center_Y,Cytoplasm_AreaShape_Center_Z,Cytoplasm_AreaShape_Compactness,Cytoplasm_AreaShape_Eccentricity,Cytoplasm_AreaShape_EulerNumber,Cytoplasm_AreaShape_Extent,Cytoplasm_AreaShape_FormFactor,Cytoplasm_AreaShape_MajorAxisLength,Cytoplasm_AreaShape_MaxFeretDiameter,Cytoplasm_AreaShape_MaximumRadius,Cytoplasm_AreaShape_MeanRadius,Cytoplasm_AreaShape_MedianRadius,Cytoplasm_AreaShape_MinFeretDiameter,Cytoplasm_AreaShape_MinorAxisLength,Cytoplasm_AreaShape_Orientation,Cytoplasm_AreaShape_Perimeter,Cytoplasm_AreaShape_Solidity,Cytoplasm_AreaShape_Zernike_0_0,Cytoplasm_AreaShape_Zernike_1_1,Cytoplasm_AreaShape_Zernike_2_0,Cytoplasm_AreaShape_Zernike_2_2,Cytoplasm_AreaShape_Zernike_3_1,Cytoplasm_AreaShape_Zernike_3_3,Cytoplasm_AreaShape_Zernike_4_0,Cytoplasm_AreaShape_Zernike_4_2,Cytoplasm_AreaShape_Zernike_4_4,Cytoplasm_AreaShape_Zernike_5_1,Cytoplasm_AreaShape_Zernike_5_3,Cytoplasm_AreaShape_Zernike_5_5,Cytoplasm_AreaShape_Zernike_6_0,Cytoplasm_AreaShape_Zernike_6_2,Cytoplasm_AreaShape_Zernike_6_4,Cytoplasm_AreaShape_Zernike_6_6,Cytoplasm_AreaShape_Zernike_7_1,Cytoplasm_AreaShape_Zernike_7_3,Cytoplasm_AreaShape_Zernike_7_5,Cytoplasm_AreaShape_Zernike_7_7,Cytoplasm_AreaShape_Zernike_8_0,Cytoplasm_AreaShape_Zernike_8_2,Cytoplasm_AreaShape_Zernike_8_4,Cytoplasm_AreaShape_Zernike_8_6,Cytoplasm_AreaShape_Zernike_8_8,Cytoplasm_AreaShape_Zernike_9_1,Cytoplasm_AreaShape_Zernike_9_3,Cytoplasm_AreaShape_Zernike_9_5,Cytoplasm_AreaShape_Zernike_9_7,Cytoplasm_AreaShape_Zernike_9_9,Cytoplasm_Intensity_IntegratedIntensityEdge_GFP,Cytoplasm_Intensity_IntegratedIntensity_GFP,Cytoplasm_Intensity_LowerQuartileIntensity_GFP,Cytoplasm_Intensity_MADIntensity_GFP,Cytoplasm_Intensity_MassDisplacement_GFP,Cytoplasm_Intensity_MaxIntensityEdge_GFP,Cytoplasm_Intensity_MaxIntensity_GFP,Cytoplasm_Intensity_MeanIntensityEdge_GFP,Cytoplasm_Intensity_MeanIntensity_GFP,Cytoplasm_Intensity_MedianIntensity_GFP,Cytoplasm_Intensity_MinIntensityEdge_GFP,Cytoplasm_Intensity_MinIntensity_GFP,Cytoplasm_Intensity_StdIntensityEdge_GFP,Cytoplasm_Intensity_StdIntensity_GFP,Cytoplasm_Intensity_UpperQuartileIntensity_GFP,Cytoplasm_Location_CenterMassIntensity_X_GFP,Cytoplasm_Location_CenterMassIntensity_Y_GFP,Cytoplasm_Location_CenterMassIntensity_Z_GFP,Cytoplasm_Location_Center_X,Cytoplasm_Location_Center_Y,Cytoplasm_Location_MaxIntensity_X_GFP,Cytoplasm_Location_MaxIntensity_Y_GFP,Cytoplasm_Location_MaxIntensity_Z_GFP,Cytoplasm_Parent_Cells,Cytoplasm_Parent_Nuclei,Nuclei_Number_Object_Number,Nuclei_AreaShape_Area,Nuclei_AreaShape_Center_X,Nuclei_AreaShape_Center_Y,Nuclei_AreaShape_Center_Z,Nuclei_AreaShape_Compactness,Nuclei_AreaShape_Eccentricity,Nuclei_AreaShape_EulerNumber,Nuclei_AreaShape_Extent,Nuclei_AreaShape_FormFactor,Nuclei_AreaShape_MajorAxisLength,Nuclei_AreaShape_MaxFeretDiameter,Nuclei_AreaShape_MaximumRadius,Nuclei_AreaShape_MeanRadius,Nuclei_AreaShape_MedianRadius,Nuclei_AreaShape_MinFeretDiameter,Nuclei_AreaShape_MinorAxisLength,Nuclei_AreaShape_Orientation,Nuclei_AreaShape_Perimeter,Nuclei_AreaShape_Solidity,Nuclei_AreaShape_Zernike_0_0,Nuclei_AreaShape_Zernike_1_1,Nuclei_AreaShape_Zernike_2_0,Nuclei_AreaShape_Zernike_2_2,Nuclei_AreaShape_Zernike_3_1,Nuclei_AreaShape_Zernike_3_3,Nuclei_AreaShape_Zernike_4_0,Nuclei_AreaShape_Zernike_4_2,Nuclei_AreaShape_Zernike_4_4,Nuclei_AreaShape_Zernike_5_1,Nuclei_AreaShape_Zernike_5_3,Nuclei_AreaShape_Zernike_5_5,Nuclei_AreaShape_Zernike_6_0,Nuclei_AreaShape_Zernike_6_2,Nuclei_AreaShape_Zernike_6_4,Nuclei_AreaShape_Zernike_6_6,Nuclei_AreaShape_Zernike_7_1,Nuclei_AreaShape_Zernike_7_3,Nuclei_AreaShape_Zernike_7_5,Nuclei_AreaShape_Zernike_7_7,Nuclei_AreaShape_Zernike_8_0,Nuclei_AreaShape_Zernike_8_2,Nuclei_AreaShape_Zernike_8_4,Nuclei_AreaShape_Zernike_8_6,Nuclei_AreaShape_Zernike_8_8,Nuclei_AreaShape_Zernike_9_1,Nuclei_AreaShape_Zernike_9_3,Nuclei_AreaShape_Zernike_9_5,Nuclei_AreaShape_Zernike_9_7,Nuclei_AreaShape_Zernike_9_9,Nuclei_Children_Cells_Count,Nuclei_Children_Cytoplasm_Count,Nuclei_Intensity_IntegratedIntensityEdge_GFP,Nuclei_Intensity_IntegratedIntensity_GFP,Nuclei_Intensity_LowerQuartileIntensity_GFP,Nuclei_Intensity_MADIntensity_GFP,Nuclei_Intensity_MassDisplacement_GFP,Nuclei_Intensity_MaxIntensityEdge_GFP,Nuclei_Intensity_MaxIntensity_GFP,Nuclei_Intensity_MeanIntensityEdge_GFP,Nuclei_Intensity_MeanIntensity_GFP,Nuclei_Intensity_MedianIntensity_GFP,Nuclei_Intensity_MinIntensityEdge_GFP,Nuclei_Intensity_MinIntensity_GFP,Nuclei_Intensity_StdIntensityEdge_GFP,Nuclei_Intensity_StdIntensity_GFP,Nuclei_Intensity_UpperQuartileIntensity_GFP,Nuclei_Location_CenterMassIntensity_X_GFP,Nuclei_Location_CenterMassIntensity_Y_GFP,Nuclei_Location_CenterMassIntensity_Z_GFP,Nuclei_Location_Center_X,Nuclei_Location_Center_Y,Nuclei_Location_Center_Z,Nuclei_Location_MaxIntensity_X_GFP,Nuclei_Location_MaxIntensity_Y_GFP,Nuclei_Location_MaxIntensity_Z_GFP
30uM,O06,16,11,2376,281,100,1,1.49305166242233,0.132448184764866,0,0.453089244851259,0.08340724514846,67.430541324468,75.953933407033,12.0415945787923,4.03575917613535,3.60555127546399,66.5902102231325,66.8364735699257,1.71125365478548,598.309999999999,0.652567975830816,0.477333094402017,0.019526276823961,0.135897890215927,0.001255623373092,0.009013643323114,0.061000773103094,0.046024600480683,0.015577778532896,0.012210835530301,0.013842956371435,0.038943582135284,0.004039097968318,0.054201761361402,0.008345566939733,0.01467150416133,0.019348192596567,0.012488600993231,0.008172689246451,0.005841249245671,0.001309697594889,0.033404777940588,0.011148066013885,0.004449525836224,0.015935708016956,0.001350647122298,0.002929428204685,0.00927354985413,0.002749690924269,0.004908352044505,0.005380279201356,25.0627456493676,179.592161506414,0.047058824449778,0.007843140512705,2.68624526359247,0.509803950786591,0.658823549747467,0.061730900614206,0.075585926559939,0.054901961237192,0.039215687662363,0.027450980618596,0.040262211134123,0.063299234168033,0.070588238537312,297.969822702763,86.4438815587154,0,295.356060606061,85.8240740740741,305,85,0,11,11,11,442,291,82,1,1.18741048896941,0.833981076851666,1,0.654814814814815,0.756929991730124,32.0413509128835,31.8904374382039,8.94427190999916,3.7659201915236,3.60555127546399,17.6776695296637,17.6801945554437,44.2009327300417,85.662,0.952586206896552,0.551840209254673,0.025043314410414,0.188857989898857,0.094791956928661,0.014120141593913,0.013022269364093,0.011309387765281,0.032122453283819,0.035629899956544,0.005169551272799,0.006704181942669,0.005636077100689,0.019943456578318,0.018372601164957,0.005153811790201,0.016362074206522,0.009201733080096,0.004982219473891,0.002978697814454,0.003354715702628,0.013237781192142,0.013696233929806,0.011407162894537,0.004287020895978,0.008358378286053,0.002799258436225,0.005644298529159,0.006980537267881,0.004854063900885,0.002346764396637,1,1,7.74117671698332,37.2196088843048,0.054901961237192,0.011764708906412,3.44347424780088,0.639215707778931,0.639215707778931,0.110588238814047,0.084207259919242,0.062745101749897,0.035294119268656,0.031372550874949,0.104490492413447,0.06045706871872,0.090196080505848,294.065957225864,84.2777368044864,0,291.262443438914,82.2782805429864,0,303,85,0
30uM,O06,16,12,3574,351,129,1,1.32602288654306,0.715588064777726,0,0.507166170001419,0.128613469984053,89.9431083182848,90.5538513813742,18.0277563773199,5.91031318381812,5,67.3405810826739,62.8272873615928,-41.9554957322504,590.933999999998,0.763675213675214,0.544662813134109,0.098274934675146,0.115821178638566,0.063177214848747,0.031566522632313,0.017867454054637,0.039577783761034,0.029749202890371,0.021967157026113,0.025019273443441,0.013715858286624,0.010365085659285,0.002161163398742,0.019853928282195,0.011926386019842,0.014333551433305,0.02119509274289,0.013680917574272,0.009752141135968,0.001345644889657,0.00923013299143,0.012762656316514,0.008765064996311,0.004585439168885,0.006274214823796,0.013370196928153,0.00881900815643,0.004962963299507,0.007419339006428,0.002863722652522,28.4666673503816,248.831379048526,0.047058824449778,0.007843136787415,3.79293564864297,0.345098048448563,0.450980395078659,0.069600653668415,0.069622657819957,0.054901961237192,0.047058824449778,0.023529412224889,0.044756076510296,0.051056272075429,0.066666670143604,366.611391317443,111.254081868129,0,362.872971460548,110.613318410744,385,104,0,12,12,12,425,374,103,1,1.48465765965156,0.919708837303971,1,0.542784163473819,0.663290991148581,37.3333773814284,36.2353418639869,7.07106781186548,3.30469667410721,3,14.142135623731,14.6571264941186,-42.1395122711604,89.732,0.967007963594994,0.410190653025875,0.015497311303158,0.160733134899379,0.090632521592583,0.012270596095901,0.005433919749383,0.037472848127923,0.059310491494221,0.036335411553637,0.005917251025843,0.00648511259285,0.002840282020956,0.011645617806435,0.008773956427566,0.021098950804941,0.017909374912868,0.002253246021395,0.003830377483955,0.002942491542477,0.002116706576278,0.005511367481714,0.003315453187512,0.006549084548779,0.007213037104783,0.009570040224691,0.004039479926274,0.003071770663822,0.003244717312688,0.001958828184459,0.001688487108281,1,1,10.1607846580446,51.1921583302319,0.078431375324726,0.019607841968536,1.2773215049411,0.376470595598221,0.376470595598221,0.141122009139508,0.120452137247604,0.094117648899555,0.047058824449778,0.047058824449778,0.086853116197718,0.064282929998251,0.141176477074623,375.140186919669,103.370690976699,0,373.988235294118,102.818823529412,0,380,106,0
30uM,O06,16,13,3753,510,111,1,1.34448843697354,0.612820400269073,0,0.599137931034483,0.123469839134779,88.8197740786618,86.5852181379709,20,6.13790184260254,5.65685424949238,70.1164763533149,70.1873590541552,70.9386298958547,618.035999999998,0.790438079191238,0.628106387786714,0.005294702942247,0.097592725434589,0.061367209906006,0.031683756222933,0.036651776905054,0.097640149711608,0.005737704735863,0.010537229912508,0.02447500141283,0.008375371789314,0.008562029268853,0.043817536557689,0.020541430873871,0.010017624461381,0.011532872783455,0.014679860985282,0.006514896509616,0.014826224584955,0.011824898208429,0.010145924669195,0.017398608372396,0.001802263752315,0.003197166050892,0.002055438973412,0.009045299997975,0.00639613451219,0.004191322694433,0.004562402262486,0.008262790679976,35.8980400376022,316.498047523201,0.050980392843485,0.011764705181122,3.45071900412523,0.843137264251709,0.917647063732147,0.086501301295427,0.084332013728537,0.0588235296309,0.047058824449778,0.027450980618596,0.102722017417365,0.076858580348876,0.082352943718433,484.311782144285,101.449217568432,0,481.172661870504,100.016253663736,490,95,0,13,13,13,632,476,108,1,1.03939319135733,0.64701066716781,1,0.726436781609195,0.877295440700316,32.5483305985728,32.2024843762092,12.0415945787923,4.82317977046256,4.24264068711929,24.0416305603426,24.8174819814617,-50.1767308329298,95.1460000000001,0.951091045899172,0.775593261254635,0.00366446978986,0.150316953452822,0.083032120130265,0.00598125274743,0.014618537471636,0.055334136894292,0.016615293920136,0.012806670284253,0.004837432180818,0.004032717209233,0.008380742959111,0.004392943240279,0.017523226411471,0.019902601087893,0.004386023030111,0.001657565347098,0.001876769099984,0.006080660448233,0.003109767280134,0.015370043596484,0.013024594250009,0.006901146810512,0.007717262955153,0.00357227979045,0.003963200771011,0.001866181309484,0.001537830177807,0.003781314062536,0.00024151452082,1,1,18.0039220787585,134.823533069342,0.098039217293263,0.054901964962483,4.98652084606594,0.850980401039124,0.882352948188782,0.227897747832386,0.213328375109719,0.137254908680916,0.050980392843485,0.047058824449778,0.180713443943834,0.173415095647435,0.266666680574417,481.680890052679,102.978853982178,0,477.85917721519,106.181962025316,0,488,96,0
30uM,O06,16,14,2036,431,102,1,1.47110083053664,0.794275237742283,0,0.529794431433776,0.219153555450638,74.5626574092132,70.4343666117613,13.6014705087354,4.95920075214193,4.47213595499958,50.3431303082235,45.301146579021,-44.893457973561,341.679999999999,0.775471338792611,0.509966139245676,0.042972677307588,0.120141370924844,0.090208431054461,0.015473426388353,0.018464304425411,0.027778318052835,0.054396707643451,0.022346481908148,0.043402233493377,0.016694900463387,0.010636665172026,0.009949024107355,0.013726747915891,0.014431921720495,0.011604437893829,0.020457660607662,0.007279792157335,0.004833588453328,0.002761636701866,0.00667710269056,0.008175806115,0.012013539453103,0.003161258149379,0.001861345019609,0.004735048384086,0.008935707227133,0.005581065617232,0.006059815492879,0.007814956131574,29.2980398125947,147.239219186828,0.050980392843485,0.007843136787415,4.32009533157231,1,1,0.113558293847266,0.07231788761632,0.0588235296309,0.047058824449778,0.027450980618596,0.179660174774409,0.093310269575434,0.066666670143604,417.717413284681,119.330900768804,0,415,115.972495088409,430,129,0,14,14,14,392,422,123,1,1.17051095783681,0.781776529113449,1,0.614420062695925,0.622256869710411,29.0438075521876,31.0644491340181,8.54400374531753,3.33185537319696,3,18.5105090484639,18.1105190242549,-33.2897279058341,88.974,0.881889763779527,0.517212333198118,0.105012934406283,0.161447690345865,0.053834504606911,0.053774394651759,0.032601718782535,0.008727905167425,0.011119856110698,0.020966394970621,0.018120882379682,0.02254230198563,0.01451860708597,0.002479727436516,0.016868237140681,0.001498521971962,0.012977845690428,0.020653724178324,0.008220327975544,0.01135230480153,0.00722604260027,0.0058153495476,0.007161658832586,0.002405846354316,0.005658435957019,0.008810534199461,0.004354881088796,0.006818518697006,0.004129692406769,0.005712014944868,0.003567800745586,1,1,12.0588237531483,80.1843151934445,0.082352943718433,0.019607841968536,3.17769532573501,1,1,0.172268910759262,0.204551824473073,0.098039217293263,0.054901961237192,0.054901961237192,0.244740644505981,0.248566328238291,0.168627455830574,423.362840495802,126.144813392658,0,421.512755102041,123.561224489796,0,424,127,0
30uM,O06,16,15,1484,104,107,1,1.81431521373665,0.809661356630692,0,0.426682001150086,0.0518017175434,71.3456119225107,73.0616178304313,7.28010988928052,2.49603797868111,2.23606797749979,43.0923054499388,41.8725498506922,1.63309006258893,599.997999999999,0.600202224469161,0.353492132877016,0.058799139815421,0.107588401126675,0.055167877433222,0.034609032729134,0.014755161092731,0.018048740937348,0.024363327230525,0.022036209857993,0.007808757522173,0.008331437766895,0.009175074662728,0.013964499501397,0.023370838820797,0.015444126778389,0.005628300233862,0.014706798549955,0.020806723651633,0.011226526272625,0.003665005251816,0.010906276099911,0.007650367963842,0.005944200673831,0.007550725146595,0.003308528485642,0.00883549883888,0.016926558941929,0.009403419087826,0.002624331064099,0.002360060665703,25.2862750515342,113.274512851611,0.050980392843485,0.011764705181122,2.7340364764834,0.294117659330368,0.34901961684227,0.061824633377834,0.076330534266584,0.0588235296309,0.035294119268656,0.027450980618596,0.034759776086947,0.045663918294867,0.082352943718433,111.055288201928,116.744434812942,0,113.75539083558,117.173854447439,85,119,0,15,15,15,430,102,121,1,1.3936714624207,0.90472431450563,1,0.651515151515152,0.719483609130557,35.9643153203715,34.5398320783411,7.61577310586391,3.439383471572,3.16227766016838,14.3108350559987,15.3207103040836,21.6776266570897,86.662,0.956618464961068,0.456786693333319,0.009665327018346,0.167129301863148,0.099661921358467,0.008206001596632,0.004280360236573,0.03394593157506,0.054946931049203,0.0386020884845,0.002946880754205,0.003305086198076,0.002205119639713,0.005807961921758,0.00204974131822,0.01586940156816,0.017377840534337,0.001370878535375,0.001132762488969,0.001342767721607,0.00129440012806,0.012099649341889,0.008106500586557,0.010785283362823,0.001288425448331,0.008199498297619,0.003266735451224,0.00226478605947,0.002865579523706,0.001400486574776,0.000653493864247,1,1,7.52156884223223,41.588236425072,0.050980392843485,0.019607845693827,2.29403984983849,0.34901961684227,0.403921574354172,0.10303518961962,0.096716828895516,0.066666670143604,0.035294119268656,0.031372550874949,0.068243076725237,0.072089252653943,0.109803922474384,98.1679396428013,121.203206034181,0,100.246511627907,120.232558139535,0,99,125,0
30uM,O06,16,16,4843,233,154,1,1.43241911153643,0.802339427666916,0,0.538649760871983,0.07161093027645,113.954539062761,111.830228471554,15.6524758424985,5.48963199240498,5.09901951359278,72.3498445057071,68.0158210084609,-76.1835959752497,921.875999999998,0.770380975105384,0.47322511005166,0.059107149169144,0.137681003689829,0.07219883545331,0.027562457709051,0.017988711068125,0.001759735945593,0.02527409022985,0.025054196338017,0.028296757706206,0.017221981679665,0.012384805303621,0.015215959147091,0.022698863174422,0.020976034924625,0.009695877351753,0.018347974877078,0.028221212370125,0.007141599138072,0.008654593299212,0.00661108669606,0.012741717705534,0.003591111177994,0.009873968767021,0.003901013536584,0.005174629317917,0.016737840782011,0.00882763065197,0.003100308737705,0.004019567532163,34.7647065110505,288.690202953294,0.047058824449778,0.007843136787415,2.67374405578802,0.427450984716415,0.427450984716415,0.058526441937795,0.059609787931715,0.050980392843485,0.047058824449778,0.027450980618596,0.032923469323848,0.031282251400816,0.0588235296309,223.030373829539,143.225372155455,0,223.292587239314,145.88622754491,216,132,0,16,16,16,462,228,128,1,1.06449309366846,0.708533972302762,1,0.712962962962963,0.874265224693991,28.9499699290046,28.3019433961698,10.295630140987,4.1285563449081,3.60555127546399,19.7989898732233,20.4293193506469,-55.1250206727107,81.49,0.952577319587629,0.729846115867659,0.023638647348138,0.162186347827283,0.094886638845075,0.009067827807521,0.006403824662099,0.038871946029897,0.007985828055209,0.020082019825594,0.002538511203433,0.010964171137949,0.007468749370752,0.017370104075738,0.024279644747097,0.01639897222709,0.004450495158858,0.000898757712414,0.00913753395454,0.005065692755882,0.004045221974045,0.009558385097907,0.008936210242606,0.002951640522442,0.009015875338916,0.002197808314713,0.004230165863882,0.003876057225304,0.008770288998671,0.003630747516435,0.001041773755065,1,1,7.88627469539642,50.5647072978318,0.062745101749897,0.019607845693827,2.72216588539197,0.427450984716415,0.431372553110123,0.117705592468603,0.109447418393575,0.078431375324726,0.050980392843485,0.047058824449778,0.080480954757879,0.075510546554004,0.117647059261799,224.432216540797,130.052039706264,0,227.017316017316,129.199134199134,0,217,132,0
30uM,O06,16,17,1575,444,155,1,1.5615723362655,0.751372670172552,0,0.378605769230769,0.197697419820715,65.998696729122,79.0569415042095,13,4.3452670521498,3.60555127546399,46.4544591551348,43.5510947830274,-82.0175162895768,316.405999999999,0.672215108834827,0.320856365273261,0.048478262320333,0.145445172300706,0.036392493880551,0.045382721234143,0.006545306079152,0.006627882268339,0.024728530695116,0.019643630599227,0.020479404535678,0.013855050948209,0.004148881831142,0.039209065302035,0.004302217435445,0.021409713300575,0.010764382277889,0.006809115918434,0.017310328068137,0.003470240791398,0.001848632409936,0.027236745577127,0.012594986649851,0.009918009343187,0.01067498898327,0.006995194505342,0.006074729671396,0.008804585150731,0.003629027775778,0.002323544376356,0.001681127053336,28.3254909589887,124.309807624668,0.0588235296309,0.007843140512705,2.81369573932561,0.807843148708344,0.807843148708344,0.115144272191011,0.078926861983916,0.066666670143604,0.047058824449778,0.035294119268656,0.121269697191462,0.059873755613937,0.078431375324726,446.714912128596,140.943405210082,0,448.48,143.134603174603,430,128,0,17,17,17,426,442,133,1,1.05925217650778,0.606145460320341,1,0.712374581939799,0.721355304340823,26.5680846500693,26.9258240356725,9.48683298050514,3.70190646956595,3.16227766016838,19.9092170382696,21.1310273149512,63.6254874391434,86.146,0.89589905362776,0.748137994561627,0.039508341695761,0.151090688919498,0.066111604474307,0.008397927825235,0.032488675786143,0.041678258861501,0.012514261394619,0.018974495752401,0.016106657870223,0.002237211520217,0.008200684648656,0.005777778396021,0.011477254126004,0.026633976231183,0.014696110881287,0.002621549156892,0.009465976679307,0.013194167558167,0.01191522150065,0.004904659019995,0.006856269981712,0.01111983366378,0.005578351864025,0.013546387813394,0.006440497198651,0.008166382149826,0.00149399945673,0.01215199763351,0.006656569965163,1,1,12.886274844408,125.839218057692,0.121568627655506,0.070588238537312,1.52155309736398,0.807843148708344,1,0.186757606440696,0.29539722548754,0.180392161011696,0.066666670143604,0.066666670143604,0.157338160601941,0.264050806529042,0.352941185235977,441.517093075909,129.590732036396,0,441.631455399061,131.107981220657,0,445,128,0
30uM,O06,16,18,5457,265,170,1,1.8445638830888,0.910276939610383,0,0.419898430286242,0.225695728058999,147.67001057782,145.165422880244,18.0277563773199,6.45450158261823,6.08276253029822,69.9995435398621,61.1353653343405,-46.3110201447282,551.213999999998,0.795365107127241,0.329714240764,0.039541606449576,0.119704765555534,0.073603356429384,0.025492465535322,0.002930968530656,0.023769529331679,0.044164368879249,0.031599553374211,0.018289537694287,0.008804748175708,0.000900938286532,0.014069362670125,0.003306781107658,0.019973926821566,0.017971292832805,0.015025786507671,0.017653066844069,0.008480845921137,0.00300601930695,0.009289070136063,0.011294709476365,0.01011467864837,0.012237787253655,0.010437045491376,0.008360999136029,0.012367838911531,0.01248781766359,0.005711119993089,0.003295764707538,30.1137262508273,365.360793946311,0.050980392843485,0.007843136787415,2.86919483664384,0.192156866192818,0.501960813999176,0.069068179474375,0.066952683515908,0.0588235296309,0.047058824449778,0.027450980618596,0.02408170419858,0.031089161400776,0.070588238537312,282.253276429476,153.23462169563,0,279.720908924317,154.583470771486,286,130,0,18,18,18,566,287,142,1,1.22573708092625,0.849515887556644,1,0.655092592592593,0.757430670214508,37.1960549475492,37.2021504754766,9.89949493661166,4.14632592224471,3.802775637732,19.4,19.6232636695461,-36.6447704113891,96.904,0.963404255319148,0.5207034554336,0.062187192790125,0.17351286839338,0.086847482125353,0.046466770266676,0.017035874593524,0.008753739037132,0.03192048668806,0.034701755088658,0.001396751487521,0.007036756025195,0.00747331565172,0.007846878567812,0.006576330832123,0.008192186647152,0.017569527200169,0.020962273757279,0.010975493122809,0.003359900181473,0.00468484206085,0.002922635909083,0.002439592963888,0.004756649900847,0.000265745049525,0.009848138596411,0.008755905376204,0.011595882563786,0.009327288775789,0.00608563480847,0.003637096860936,1,1,8.20392181351781,90.7451005466282,0.090196080505848,0.039215683937073,1.3630274884204,0.211764708161354,0.549019634723663,0.102549022668973,0.160327032767894,0.121568627655506,0.0588235296309,0.0588235296309,0.031046715569121,0.095483393242928,0.200000002980232,288.999740706371,141.297450311945,0,287.883392226148,142.079505300353,0,284,142,0
